id,title,tagline,category,status,viability_score,technical_grade,domain_barrier,monetization,ai_wrapper_test,duplicate_of,tier,review_notes
IDEA-001,MeetingMind,AI meeting summarizer without bots joining calls,AI Tools,CAUTION,3,C,None,Moderate,Pass,,3,Crowded market (Otter/Fireflies). Differentiation is no-bot but technical challenge to implement. B2B willingness to pay exists.
IDEA-002,InboxDigest,Email thread summarizer Chrome extension,AI Tools,RECOMMENDED,4,B,None,Moderate,Pass,,2,Chrome extension is buildable. Market exists but ChatGPT sidebar competition. Freemium model works.
IDEA-003,ComplianceBot,SOC2/ISO compliance automation,B2B Services,SKIP,2,D,High,Strong,Pass,,4,Requires deep compliance expertise AND technical complexity. Not for non-technical solopreneur. Leave to Vanta/Drata.
IDEA-004,ClientSync,Communication portal for accountants,B2B Services,CAUTION,3,B,Medium,Moderate,Pass,,3,Vertical SaaS for accountants. Domain knowledge helps. Competition from practice management software.
IDEA-005,ClipGenius,Podcast to social content repurposer,Creator Economy,CAUTION,3,C,None,Moderate,Pass,,3,Video/audio processing is technically challenging. Opus Clip and others dominate. Hard to differentiate.
IDEA-006,ProofPilot,Automated testimonial collection,Creator Economy,RECOMMENDED,4,B,None,Strong,Pass,,2,Clear pain point. Buildable. People pay for social proof. Senja/Testimonial.to competition but room exists.
IDEA-007,DocuAPI,Auto API documentation from code,Developer Tools,SKIP,2,D,Low,Moderate,Pass,,4,Requires complex code parsing. Mintlify and others dominate. Technical founder territory.
IDEA-008,ProposalPro,AI proposal generator for freelancers,Developer Tools,RECOMMENDED,4,B,None,Strong,Pass,,2,Clear pain. Freelancers will pay. Buildable with AI APIs. Good niche.
IDEA-009,AgentCRM,Simple CRM for real estate agents,Vertical SaaS,CAUTION,3,B,Medium,Moderate,Pass,,3,Real estate is crowded CRM market. Domain knowledge needed. But solo agents underserved.
IDEA-010,LegalDraft,AI contract generator for freelancers,Vertical SaaS,CAUTION,3,B,Medium,Moderate,Pass,,3,Legal domain is risky. Must include disclaimers. But freelancer contracts are templatable.
IDEA-011,ReplyGPT,AI email reply writer Chrome extension,AI Tools,SKIP,2,B,None,Weak,Fail,,4,ChatGPT does this. Gmail has AI built in. No differentiation. Wont pay.
IDEA-012,SummaryTab,Webpage summarizer Chrome extension,AI Tools,SKIP,2,B,None,Unlikely,Fail,,4,ChatGPT does this. Dozens of free extensions exist. No monetization path.
IDEA-013,CodeReviewBot,AI code reviewer GitHub App,AI Tools,SKIP,2,D,Low,Moderate,Pass,,4,GitHub Copilot and CodeRabbit dominate. Complex to build properly. Technical founder needed.
IDEA-014,ChatExport,Export ChatGPT history extension,AI Tools,CAUTION,3,B,None,Weak,Pass,,3,Niche utility. Some will pay. But small market and ChatGPT may add feature.
